Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Currency,Region,Free_Tier_Flag,Tag_Owner,Tag_Env,Resource_ID,Ticket_ID,Ticket_Text,Incident_ID,Price_Version,Pricing_Type,Department,Project,SLA_Event,Log_Skew_Seconds,FX_Rate,Purchase_Type,Usage_seconds,Duplicate_Flag,Spike_Flag,Tag_Owner_Missing,Tag_Env_Missing,Resource_ID_Valid,Resource_Type,Incident_Linked,Price_Version_Valid,Cost_INR,Idle_Resource,Cost_Allocation_Valid,Unit_Cost,carbon
U2,ACCT-001,2026-06-25 20:51:39+00:00,Database,VM-STD-4,2.15,minutes,0.96,USD,ap-south-1,False,alice,test,R6321,T-143,User email [MASKED_EMAIL] cannot login,I-83,v1,spot,Sales,Project-A,DEGRADED,21.0,77.07673922479319,reserved,129.0,False,False,False,False,True,VM,True,True,73.99,True,True,0.5735658914728682,2.58e-05
U3,ACCT-001,2026-08-03 01:28:50+00:00,Database,VM-STD-4,108.22,seconds,0.0,USD,us-east-1,True,charlie,unknown,resource-5946,T-175,Customer reported latency issue,I-2,v3,spot,Sales,Project-A,NONE,70.0,76.61671658764263,spot,108.22,False,False,False,True,False,VM,True,True,0.0,True,True,0.0,2.1643999999999998e-05
U4,ACCT-003,2026-06-25 20:51:38+00:00,Ai,VM-STD-4,456.78,seconds,0.0,USD,us-east-1,True,charlie,prod,R9740,T-33,Customer reported latency issue,I-61,v2,on-demand,Engineering,Project-C,NONE,22.0,83.52450131780772,spot,456.78,False,False,False,False,True,VM,True,True,0.0,True,True,0.0,9.135599999999998e-05
U6,ACCT-001,2026-04-06 02:23:50+00:00,Networking,VM-STD-4,235.79,seconds,263.26,INR,us-east-1,False,unknown,dev,resource-8504,T-184,Customer phone [MASKED_PHONE] reported outage,I-51,v2,reserved,Engineering,Project-C,DEGRADED,70.0,84.93725923219947,reserved,235.79,False,False,True,False,False,VM,True,True,22360.58,True,True,94.83260528436321,4.7158e-05
U7,ACCT-003,2026-06-25 22:20:00+00:00,Compute,VM-STD-4,44.83,seconds,0.0,INR,ap-south-1,True,bob,prod,resource-7289,T-93,Customer phone [MASKED_PHONE] reported outage,I-24,v3,reserved,Engineering,Project-A,NONE,0.0,87.82126944305294,reserved,44.83,False,False,False,False,False,VM,True,True,0.0,True,True,0.0,8.965999999999999e-06
U8,ACCT-003,2026-12-11 13:43:10+00:00,Storage,VM-STD-4,193.89,seconds,0.0,EUR,us-east-1,True,unknown,dev,R3884,T-100,User email [MASKED_EMAIL] cannot login,NONE,v3,spot,Finance,Project-A,OUTAGE,110.0,81.14216383054091,spot,193.89,False,False,True,False,True,VM,False,True,0.0,True,True,0.0,3.8777999999999994e-05
U11,ACCT-002,2026-05-24 22:17:00+00:00,Compute,DB-GP-2,9.18,minutes,12.04,USD,ap-south-1,False,alice,dev,resource-1326,T-37,Customer phone [MASKED_PHONE] reported outage,NONE,v1,on-demand,Research,Project-B,NONE,0.0,81.55522500208095,on-demand,550.8,False,False,False,False,False,DB,False,True,981.92,True,True,1.782716049382716,0.00011015999999999999
U25,ACCT-002,2026-03-07 16:14:48+00:00,Compute,VM-STD-4,447.33,seconds,326.65,INR,ap-south-1,False,bob,test,resource-9547,T-17,Customer phone [MASKED_PHONE] reported outage,I-53,v1,reserved,Sales,Project-C,DEGRADED,12.0,72.48658277817673,reserved,447.33,False,False,False,False,False,VM,True,True,23677.74,True,True,52.93125880222655,8.946599999999999e-05
U30,ACCT-002,2026-06-25 20:52:00+00:00,Networking,DB-GP-2,396.42,seconds,0.0,INR,ap-south-1,True,charlie,unknown,resource-4187,T-76,Customer phone [MASKED_PHONE] reported outage,I-20,v1,reserved,Finance,Project-B,DEGRADED,0.0,84.74073030921612,on-demand,396.42,False,False,False,True,False,DB,True,True,0.0,True,True,0.0,7.9284e-05
U35,ACCT-001,2026-10-14 07:02:00+00:00,Networking,DB-GP-2,86.8,seconds,0.0,USD,us-east-1,True,unknown,prod,resource-4524,T-147,User email [MASKED_EMAIL] cannot login,I-85,v3,spot,Sales,Project-A,DEGRADED,0.0,74.65883635551889,on-demand,86.8,False,False,True,False,False,DB,True,True,0.0,True,True,0.0,1.736e-05
